-0.58	-0.45	-0.6	0.03	-0.1	0.08	0.23	-0.2	0.06	-0.29	-0.36	-0.22	-0.34	-0.49	-0.22	0.03	-0.27	-0.18	-1.43	-0.94	-0.97	-0.42	-0.2	0	-0.04	0.41	0.77	0.36	0.49	0.45	0.18	-0.09	-0.04	-0.49	0.03	0.29	0.3	-0.38	-0.54	-0.54	-0.14	-0.01	-0.3	-0.18	-0.07	-0.42	-0.06	-0.07	0.78	2.86	3.93	4.08	4.25	-2.18	1.68	1.15	1.79	0.96	0.07	-0.04	-0.07	0.1	0	-1.12	-0.1	0.01	0.14	0.06	0.01	-0.09	-1.09	-0.67	0.1	-0.29	0.07	-0.34	-0.4	0	-1.18
-0.71	-0.3	-0.09	0.21	0.21	0.33	-0.27	0.31	0.11	-0.12	0.03	0.21	0.08	0.01	-0.07	0.45	0.01	0.01	-0.14	-0.29	-0.07	0.15	0.4	0.52	0.57	0.49	-0.1	0.03	0.26	-0.04	-0.51	0.12	-0.38	-0.15	-0.23	-0.03	-0.74	-0.32	-0.18	0.85	0.07	-0.84	-0.1	-0.03	-0.89	-0.03	-0.54	-0.06	-0.12	1.45	2.8	3.36	3.56	-1.6	1.89	2.17	0.74	0.33	-0.09	-0.45	-0.25	0.18	0.03	0.16	-0.22	-0.47	-0.3	-0.79	-0.36	0	-0.14	-0.23	0.15	0.18	-0.06	-0.17	-0.51	-0.17	-0.69
-0.92	-0.6	-0.69	-0.38	-0.71	-0.23	-0.69	-0.09	-0.17	-0.23	-0.22	-0.15	-0.47	-0.43	-0.84	-0.03	-0.6	-0.3	-0.01	-0.04	0.23	-0.62	-0.12	-0.2	0.33	-0.23	-0.36	-0.34	-0.12	-0.43	-0.45	-0.12	-0.64	-0.2	-0.2	-0.62	-0.69	-0.54	-0.89	0.23	-0.6	-1	-0.67	0.33	-0.6	-0.94	-0.69	-0.17	1.36	1.98	3.77	3.73	4	-1.29	1.08	0.85	2.16	2.51	1.34	0.11	0.36	-0.29	-0.07	-0.49	-0.2	-0.36	-0.45	-0.32	-0.18	0.08	-0.29	-0.71	-0.84	-0.42	0.4	-0.14	-0.47	0.88	0.1
-0.64	-0.2	0.9	0.74	0.48	0.07	-0.3	-0.34	-0.47	-0.34	0.4	0.58	0.33	-0.15	-0.25	-0.15	-0.45	-0.38	-1.15	-0.86	-0.58	-0.01	0.24	0.42	0.34	0.12	-0.42	-0.29	-0.34	-0.94	-0.94	-0.49	-0.64	0.62	0.91	-0.42	-0.69	-0.64	-0.38	-0.09	0.16	-0.86	-1.06	-0.49	-0.2	-0.51	-0.49	-0.15	1.13	0.88	0.2	-0.79	-0.6	0.61	-0.34	-0.3	2.51	1.79	-0.15	-0.92	-0.4	-0.06	-0.45	0.5	-0.34	-0.3	-0.6	-0.97	-0.36	0.32	-0.23	-0.36	-0.09	-0.34	-0.23	-0.36	-0.47	-0.97	-0.92
-0.76	0.84	0.31	0.79	-0.58	0.24	-0.01	-0.25	-0.6	-0.4	-0.04	0.1	0.1	-0.07	0.01	0.1	-0.2	-0.18	-0.92	-0.81	-0.54	-0.18	0.08	0.15	0.24	0.21	-0.17	0.14	-0.06	-0.3	-0.74	-0.58	-0.84	-0.27	0.58	-0.25	-0.71	-1.22	-0.84	0.07	0.28	-0.69	-0.74	-0.97	-0.51	-0.71	-0.71	-0.36	1.01	1.1	0.74	0	0.04	-0.12	-0.64	-0.81	1.7	1.54	0.11	-0.6	-0.25	0.39	0.01	0.1	-0.51	-0.4	-0.4	-0.74	-0.2	0.36	-0.23	-0.14	0.15	0.29	0.43	0.07	0.01	0.07	-0.25
-0.45	-0.47	-0.27	0.03	-0.17	0.2	-0.07	-0.17	-0.34	-0.47	-0.64	0.07	-0.07	-0.42	-0.84	-0.38	-0.23	-0.32	-0.86	-0.69	0.07	-0.3	0.19	0.06	0.2	-0.23	-0.3	-0.18	0.08	-0.45	-1.06	-0.29	0.03	0.2	-0.23	-0.34	-0.97	-0.89	-0.1	1.75	-0.23	-1	-1	-0.25	-0.62	-0.04	-0.67	-0.06	1.29	1.16	1.95	0.51	1.28	-0.47	-0.71	-1.6	3.05	2.18	-0.25	-1	-0.07	-0.69	-0.34	0.18	-0.6	-0.25	-0.54	-0.56	-0.58	0.34	-0.51	0.01	-0.27	-0.3	0.19	-0.23	-0.49	0.36	-0.47
-0.81	-0.29	0.52	0.53	0.01	0	-0.18	-0.42	-0.22	-0.34	0.19	0.4	0.16	-0.18	-0.01	-0.23	-0.49	-0.54	-0.97	-1.06	-0.62	-0.42	-0.23	0.01	-0.04	-0.01	-0.25	-0.27	-0.25	-0.42	-0.84	-0.25	-0.76	0.1	0.77	-0.15	-0.74	-0.76	0	0.57	0.46	-0.54	-0.38	-0.42	-0.04	-0.27	-0.45	-0.58	0.92	0.96	0.79	-0.1	0.19	-0.06	-0.58	-0.76	2.55	2.63	0.12	-0.43	-0.36	-0.29	-0.3	0.52	-0.27	-0.43	-0.45	-0.54	-0.14	0.44	-0.12	-0.32	0.1	0.07	0.03	-0.27	-0.2	-0.07	-0.58
-0.64	-0.58	0.7	0.76	0.51	-0.34	-0.51	0.62	-0.97	-0.34	0.37	0.64	0.29	0	-0.25	-0.51	-0.27	-0.51	-1.03	-0.36	-0.89	-0.43	0	0.31	0.34	0.25	0.15	0.06	-0.58	0.04	-0.29	-0.34	-0.71	0.37	0.9	-0.74	-1.84	-2	0.1	0.53	0.37	-1.06	-1.47	-0.97	0.16	-0.03	0.03	-0.14	2.41	2.1	2.04	0.57	0.84	0.57	-0.58	-1.79	3.08	2.86	-0.43	0.03	-0.1	-0.14	-0.27	-0.49	-0.38	-0.18	-0.03	-0.23	-0.1	0.08	-0.74	-0.3	-0.17	-0.32	-0.22	-0.25	-0.17	-0.51	-1.43
-0.69	-0.79	0.48	0.96	0.78	0.77	0.04	-0.47	-0.79	-0.56	0.06	0.23	0.53	-0.15	0.06	-0.62	-0.22	-0.54	-1.09	-0.36	-0.34	-0.3	0.25	0.25	0.42	0.33	-0.01	0.01	-0.18	-0.27	-0.6	-0.22	-0.04	-0.12	-0.07	-0.62	-0.6	-0.32	0.28	0.75	-0.36	-1.22	-0.56	0	-0.56	-0.07	-0.36	-0.49	1.88	1.85	1.62	0.64	0.37	0.07	-0.51	-1.6	2.61	2.71	-0.12	-0.54	-0.34	-0.42	-0.49	-0.25	0.24	-0.01	0.01	0.01	-0.06	-0.18	-0.1	-0.47	0.01	0.06	-0.27	-0.69	-0.42	-0.97	-1.09
-0.74	-1.06	0.46	1.06	0.89	0.04	-0.15	-0.79	-0.76	-0.3	0.12	0.64	0.63	-0.17	-0.27	-0.45	-0.43	-0.2	-1.47	-1.15	-0.71	-0.6	0.01	0.3	0.16	-0.07	-0.25	-0.22	-0.15	-0.6	-1.03	-0.29	-0.69	0.29	0.36	-0.79	-0.58	-0.92	0.01	0.16	0.57	-0.23	-0.51	-0.14	-0.03	-0.2	-0.29	-0.22	2.09	2.23	2.03	0.49	0.31	-0.32	-0.74	-2.06	2.55	1.94	-0.3	-0.84	-0.38	-0.22	-0.09	-0.2	-0.14	0.23	-0.42	-0.03	-0.2	0.61	-0.38	-0.3	-0.01	0.18	0.41	-0.18	0	-0.1	-0.92
